timestamp,domain,measure
3,psys-1,3.59884
3,core-0,0.11438
3,package-0,1.13065
3,uncore-0,0.01557
3,package-global,1.13065
3,cpu%_package-global,0.66528
3,cpu%_package-0,0.74779
3,freq_package-0,400000.0
6,psys-1,13.36391
6,core-0,4.3034
6,package-0,6.60954
6,uncore-0,0.10062
6,package-global,6.60954
6,cpu%_package-global,9.39343
6,cpu%_package-0,9.27445
6,freq_package-0,2896666.75
9,psys-1,26.58341
9,core-0,11.37058
9,package-0,15.24208
9,uncore-0,0.07487
9,package-global,15.24208
9,cpu%_package-global,21.53316
9,cpu%_package-0,22.19178
9,freq_package-0,2263960.25
12,psys-1,26.55508
12,core-0,11.53883
12,package-0,15.2909
12,uncore-0,0.01058
12,package-global,15.2909
12,cpu%_package-global,21.94492
12,cpu%_package-0,21.96585
12,freq_package-0,2616164.875
15,psys-1,26.52956
15,core-0,11.48622
15,package-0,15.25527
15,uncore-0,0.01171
15,package-global,15.25527
15,cpu%_package-global,21.92907
15,cpu%_package-0,21.9267
15,freq_package-0,2517796.875
18,psys-1,26.82413
18,core-0,11.7253
18,package-0,15.50934
18,uncore-0,0.00858
18,package-global,15.50934
18,cpu%_package-global,20.87817
18,cpu%_package-0,21.12146
18,freq_package-0,2151366.25
21,psys-1,26.64552
21,core-0,11.58912
21,package-0,15.39419
21,uncore-0,0.00805
21,package-global,15.39419
21,cpu%_package-global,21.21343
21,cpu%_package-0,21.265
21,freq_package-0,1342438.0
24,psys-1,25.71782
24,core-0,11.73787
24,package-0,15.58887
24,uncore-0,0.01424
24,package-global,15.58887
24,cpu%_package-global,21.19636
24,cpu%_package-0,21.36922
24,freq_package-0,2237675.75
27,psys-1,24.7884
27,core-0,11.50566
27,package-0,15.3557
27,uncore-0,0.00886
27,package-global,15.3557
27,cpu%_package-global,22.51826
27,cpu%_package-0,22.73569
27,freq_package-0,1676894.0
30,psys-1,25.13908
30,core-0,11.78922
30,package-0,15.65818
30,uncore-0,0.00818
30,package-global,15.65818
30,cpu%_package-global,21.71478
30,cpu%_package-0,21.91886
30,freq_package-0,1999177.25
33,psys-1,25.39049
33,core-0,11.85782
33,package-0,15.77433
33,uncore-0,0.01008
33,package-global,15.77433
33,cpu%_package-global,22.16981
33,cpu%_package-0,21.99154
33,freq_package-0,2097855.125
36,psys-1,25.45313
36,core-0,11.89608
36,package-0,15.8109
36,uncore-0,0.01467
36,package-global,15.8109
36,cpu%_package-global,21.07527
36,cpu%_package-0,21.24918
36,freq_package-0,1319777.625
39,psys-1,25.3378
39,core-0,11.80196
39,package-0,15.70299
39,uncore-0,0.01269
39,package-global,15.70299
39,cpu%_package-global,21.71674
39,cpu%_package-0,21.59037
39,freq_package-0,891655.75
42,psys-1,25.31482
42,core-0,11.77901
42,package-0,15.68788
42,uncore-0,0.01524
42,package-global,15.68788
42,cpu%_package-global,21.13891
42,cpu%_package-0,21.27693
42,freq_package-0,1675753.875
45,psys-1,25.21836
45,core-0,11.6527
45,package-0,15.54045
45,uncore-0,0.00736
45,package-global,15.54045
45,cpu%_package-global,21.70377
45,cpu%_package-0,21.98384
45,freq_package-0,1894792.125
48,psys-1,25.32687
48,core-0,11.69019
48,package-0,15.58844
48,uncore-0,0.01313
48,package-global,15.58844
48,cpu%_package-global,22.00258
48,cpu%_package-0,22.29508
48,freq_package-0,1222376.5
51,psys-1,22.71122
51,core-0,10.23954
51,package-0,13.81637
51,uncore-0,0.01732
51,package-global,13.81637
51,cpu%_package-global,19.13342
51,cpu%_package-0,19.19561
51,freq_package-0,556433.125
54,psys-1,4.33977
54,core-0,0.24276
54,package-0,1.43752
54,uncore-0,0.02016
54,package-global,1.43752
54,cpu%_package-global,0.54212
54,cpu%_package-0,0.54139
54,freq_package-0,588411.375
57,psys-1,4.26228
57,core-0,0.22876
57,package-0,1.36346
57,uncore-0,0.02248
57,package-global,1.36346
57,cpu%_package-global,0.62552
57,cpu%_package-0,0.66695
57,freq_package-0,586670.75
60,psys-1,3.62855
