timestamp,domain,measure
3,psys-1,4.137
3,core-0,0.14059
3,package-0,1.0485
3,uncore-0,0.03922
3,package-global,1.0485
3,cpu%_package-global,0.33459
3,cpu%_package-0,0.33417
3,freq_package-0,636406.75
6,psys-1,6.17528
6,core-0,0.30235
6,package-0,1.56461
6,uncore-0,0.12999
6,package-global,1.56461
6,cpu%_package-global,1.21491
6,cpu%_package-0,1.2121
6,freq_package-0,549456.25
9,psys-1,3.94899
9,core-0,0.16155
9,package-0,1.09678
9,uncore-0,0.05638
9,package-global,1.09678
9,cpu%_package-global,0.79233
9,cpu%_package-0,0.75028
9,freq_package-0,490250.5
12,psys-1,5.82354
12,core-0,0.69014
12,package-0,1.96324
12,uncore-0,0.0658
12,package-global,1.96324
12,cpu%_package-global,1.92308
12,cpu%_package-0,1.96225
12,freq_package-0,1925585.0
15,psys-1,25.27639
15,core-0,10.56761
15,package-0,14.10756
15,uncore-0,0.17207
15,package-global,14.10756
15,cpu%_package-global,22.01557
15,cpu%_package-0,22.35232
15,freq_package-0,1285444.75
18,psys-1,6.44438
18,core-0,1.22243
18,package-0,2.59154
18,uncore-0,0.05934
18,package-global,2.59154
18,cpu%_package-global,2.68007
18,cpu%_package-0,2.79864
18,freq_package-0,400000.0
21,psys-1,7.46103
21,core-0,2.72939
21,package-0,3.7172
21,uncore-0,0.02663
21,package-global,3.7172
21,cpu%_package-global,3.33056
21,cpu%_package-0,3.17505
21,freq_package-0,888566.0
24,psys-1,23.98547
24,core-0,11.57336
24,package-0,13.53947
24,uncore-0,0.03122
24,package-global,13.53947
24,cpu%_package-global,12.79167
24,cpu%_package-0,12.74945
24,freq_package-0,904498.75
27,psys-1,23.89979
27,core-0,11.60156
27,package-0,13.51003
27,uncore-0,0.02947
27,package-global,13.51003
27,cpu%_package-global,13.39733
27,cpu%_package-0,13.45917
27,freq_package-0,2493949.625
30,psys-1,23.82849
30,core-0,10.26791
30,package-0,14.19716
30,uncore-0,0.3732
30,package-global,14.19716
30,cpu%_package-global,24.02597
30,cpu%_package-0,24.08287
30,freq_package-0,1934080.875
33,psys-1,24.04983
33,core-0,10.37973
33,package-0,14.63965
33,uncore-0,0.35759
33,package-global,14.63965
33,cpu%_package-global,24.39759
33,cpu%_package-0,24.32911
33,freq_package-0,2160234.75
36,psys-1,24.30929
36,core-0,10.40694
36,package-0,14.74675
36,uncore-0,0.35662
36,package-global,14.74675
36,cpu%_package-global,28.21505
36,cpu%_package-0,28.21488
36,freq_package-0,2401564.5
39,psys-1,24.24241
39,core-0,10.56734
39,package-0,14.84511
39,uncore-0,0.30223
39,package-global,14.84511
39,cpu%_package-global,25.54113
39,cpu%_package-0,25.75265
39,freq_package-0,2274757.625
42,psys-1,24.18854
42,core-0,10.49816
42,package-0,14.817
42,uncore-0,0.34933
42,package-global,14.817
42,cpu%_package-global,24.92454
42,cpu%_package-0,24.91108
42,freq_package-0,2822536.5
45,psys-1,24.30263
45,core-0,10.5364
45,package-0,14.91903
45,uncore-0,0.40141
45,package-global,14.91903
45,cpu%_package-global,24.54702
45,cpu%_package-0,24.4836
