timestamp,domain,measure
3,psys-1,8.39322
3,core-0,0.67411
3,package-0,2.26667
3,uncore-0,0.02203
3,package-global,2.26667
3,cpu%_package-global,1.68848
3,cpu%_package-0,1.65549
3,freq_package-0,552060.75
6,psys-1,5.83936
6,core-0,0.4624
6,package-0,1.63643
6,uncore-0,0.02341
6,package-global,1.63643
6,cpu%_package-global,0.83682
6,cpu%_package-0,0.91975
6,freq_package-0,550778.0
9,psys-1,5.46212
9,core-0,0.24016
9,package-0,1.36864
9,uncore-0,0.01772
9,package-global,1.36864
9,cpu%_package-global,0.5848
9,cpu%_package-0,0.66765
9,freq_package-0,567082.875
12,psys-1,7.00055
12,core-0,0.32448
12,package-0,1.69481
12,uncore-0,0.04869
12,package-global,1.69481
12,cpu%_package-global,2.00669
12,cpu%_package-0,1.87754
12,freq_package-0,720905.25
15,psys-1,32.55561
15,core-0,17.26337
15,package-0,20.81484
15,uncore-0,0.14833
15,package-global,20.81484
15,cpu%_package-global,19.04762
15,cpu%_package-0,19.05935
15,freq_package-0,3926044.125
18,psys-1,27.15678
18,core-0,13.88126
18,package-0,16.95525
18,uncore-0,0.13117
18,package-global,16.95525
18,cpu%_package-global,15.15152
18,cpu%_package-0,15.20382
18,freq_package-0,580154.625
21,psys-1,5.61192
21,core-0,0.25752
21,package-0,1.39108
21,uncore-0,0.02947
21,package-global,1.39108
21,cpu%_package-global,1.00293
21,cpu%_package-0,0.96127
21,freq_package-0,571926.125
24,psys-1,5.63726
24,core-0,0.17635
24,package-0,1.44988
24,uncore-0,0.02419
24,package-global,1.44988
24,cpu%_package-global,0.6675
24,cpu%_package-0,0.62501
24,freq_package-0,622346.25
27,psys-1,5.56353
27,core-0,0.21154
27,package-0,1.38235
27,uncore-0,0.02984
27,package-global,1.38235
27,cpu%_package-global,0.62762
27,cpu%_package-0,0.6689
27,freq_package-0,744599.5
30,psys-1,5.87393
30,core-0,0.32771
30,package-0,1.59477
30,uncore-0,0.03036
30,package-global,1.59477
30,cpu%_package-global,0.79299
30,cpu%_package-0,0.79182
30,freq_package-0,722160.625
33,psys-1,6.31698
33,core-0,0.25849
33,package-0,1.59177
33,uncore-0,0.03971
33,package-global,1.59177
33,cpu%_package-global,1.21288
33,cpu%_package-0,1.17102
33,freq_package-0,581456.375
36,psys-1,5.11997
36,core-0,0.22427
36,package-0,1.27587
36,uncore-0,0.01703
36,package-global,1.27587
36,cpu%_package-global,0.75125
36,cpu%_package-0,0.70904
36,freq_package-0,516539.75
39,psys-1,20.9285
39,core-0,9.01859
39,package-0,11.32869
39,uncore-0,0.01492
39,package-global,11.32869
39,cpu%_package-global,10.22111
39,cpu%_package-0,10.21983
39,freq_package-0,1119509.875
42,psys-1,26.27132
42,core-0,11.68021
42,package-0,14.62261
42,uncore-0,0.01163
42,package-global,14.62261
42,cpu%_package-global,12.94904
42,cpu%_package-0,12.96029
42,freq_package-0,1126214.25
45,psys-1,29.82995
45,core-0,15.90876
45,package-0,18.26776
45,uncore-0,0.01097
45,package-global,18.26776
45,cpu%_package-global,12.80234
