timestamp,domain,measure
3,psys-1,11.19255
3,core-0,1.05247
3,package-0,3.2024
3,uncore-0,0.11755
3,package-global,3.2024
3,cpu%_package-global,3.7808
3,cpu%_package-0,3.698
3,freq_package-0,880184.375
6,psys-1,9.88856
6,core-0,0.89982
6,package-0,2.81709
6,uncore-0,0.10853
6,package-global,2.81709
6,cpu%_package-global,4.21408
6,cpu%_package-0,4.21071
6,freq_package-0,965538.375
9,psys-1,9.28012
9,core-0,0.57887
9,package-0,2.45592
9,uncore-0,0.10999
9,package-global,2.45592
9,cpu%_package-global,3.57143
9,cpu%_package-0,3.68359
9,freq_package-0,683201.25
12,psys-1,18.37435
12,core-0,7.20608
12,package-0,9.776
12,uncore-0,0.17316
12,package-global,9.776
12,cpu%_package-global,9.98301
12,cpu%_package-0,9.94025
12,freq_package-0,3214599.375
15,psys-1,26.14964
15,core-0,12.59512
15,package-0,15.87509
15,uncore-0,0.23295
15,package-global,15.87509
15,cpu%_package-global,15.17212
15,cpu%_package-0,15.07772
15,freq_package-0,667592.5
18,psys-1,8.54563
18,core-0,0.55598
18,package-0,2.33999
18,uncore-0,0.11143
18,package-global,2.33999
18,cpu%_package-global,2.86678
18,cpu%_package-0,2.98873
18,freq_package-0,698047.25
21,psys-1,8.69032
21,core-0,0.56721
21,package-0,2.39453
21,uncore-0,0.10145
21,package-global,2.39453
21,cpu%_package-global,2.82462
21,cpu%_package-0,2.69526
21,freq_package-0,889067.75
24,psys-1,9.76566
24,core-0,0.98158
24,package-0,2.97188
24,uncore-0,0.10975
24,package-global,2.97188
24,cpu%_package-global,4.03361
24,cpu%_package-0,4.02214
24,freq_package-0,1800573.0
27,psys-1,26.66611
27,core-0,12.32236
27,package-0,15.38795
27,uncore-0,0.16666
27,package-global,15.38795
27,cpu%_package-global,13.9749
27,cpu%_package-0,13.87533
27,freq_package-0,1479784.5
30,psys-1,27.09788
30,core-0,14.46468
30,package-0,17.32548
30,uncore-0,0.20576
30,package-global,17.32548
30,cpu%_package-global,13.99332
30,cpu%_package-0,13.96645
30,freq_package-0,1858681.125
33,psys-1,25.95448
33,core-0,13.40709
33,package-0,16.31358
33,uncore-0,0.19739
33,package-global,16.31358
33,cpu%_package-global,14.08274
33,cpu%_package-0,14.10504
33,freq_package-0,1715851.875
36,psys-1,29.72298
36,core-0,17.28652
36,package-0,19.81139
36,uncore-0,0.22062
36,package-global,19.81139
36,cpu%_package-global,14.10096
36,cpu%_package-0,14.00282
36,freq_package-0,1222574.875
39,psys-1,25.69646
39,core-0,12.59557
39,package-0,15.67829
39,uncore-0,0.20507
39,package-global,15.67829
39,cpu%_package-global,13.9145
39,cpu%_package-0,14.01528
39,freq_package-0,2047136.375
42,psys-1,28.96066
42,core-0,16.56001
42,package-0,19.11327
42,uncore-0,0.2169
42,package-global,19.11327
42,cpu%_package-global,14.30948
42,cpu%_package-0,14.18389
42,freq_package-0,2597370.0
45,psys-1,24.96801
45,core-0,12.10091
45,package-0,15.17791
45,uncore-0,0.20898
45,package-global,15.17791
45,cpu%_package-global,13.82488
45,cpu%_package-0,13.80948
45,freq_package-0,3350045.0
48,psys-1,29.0472
48,core-0,16.64611
48,package-0,19.14015
48,uncore-0,0.21597
48,package-global,19.14015
48,cpu%_package-global,13.8738
48,cpu%_package-0,13.79589
48,freq_package-0,2021231.625
51,psys-1,24.82245
51,core-0,11.58285
51,package-0,14.77203
51,uncore-0,0.20868
51,package-global,14.77203
51,cpu%_package-global,14.05858
51,cpu%_package-0,13.99884
51,freq_package-0,1547767.5
54,psys-1,29.46537
54,core-0,16.70925
54,package-0,19.30157
54,uncore-0,0.22277
54,package-global,19.30157
54,cpu%_package-global,14.5054
54,cpu%_package-0,14.44365
54,freq_package-0,1678289.875
57,psys-1,31.81251
57,core-0,17.78061
57,package-0,21.056
57,uncore-0,0.30767
57,package-global,21.056
57,cpu%_package-global,17.60474
57,cpu%_package-0,17.71133
57,freq_package-0,2883763.125
60,psys-1,19.15427
60,core-0,7.9256
60,package-0,10.97098
60,uncore-0,0.27792
60,package-global,10.97098
60,cpu%_package-global,10.04663
60,cpu%_package-0,10.12267
60,freq_package-0,865648.375
63,psys-1,8.60788
63,core-0,0.6396
63,package-0,2.76856
63,uncore-0,0.19502
63,package-global,2.76856
63,cpu%_package-global,2.94861
63,cpu%_package-0,2.98815
63,freq_package-0,633315.0
66,psys-1,8.16364
66,core-0,0.61794
66,package-0,2.54107
66,uncore-0,0.17759
66,package-global,2.54107
66,cpu%_package-global,3.35993
66,cpu%_package-0,3.19905
66,freq_package-0,1007464.75
69,psys-1,8.02501
69,core-0,0.56749
69,package-0,2.55956
69,uncore-0,0.17516
69,package-global,2.55956
69,cpu%_package-global,2.82105
69,cpu%_package-0,2.94042
69,freq_package-0,870867.375
72,psys-1,7.68361
72,core-0,0.53407
72,package-0,2.46177
72,uncore-0,0.17394
72,package-global,2.46177
72,cpu%_package-global,2.86075
72,cpu%_package-0,2.7821
72,freq_package-0,599323.25
75,psys-1,24.48413
75,core-0,12.09468
75,package-0,15.55968
75,uncore-0,0.27015
75,package-global,15.55968
75,cpu%_package-global,14.77853
75,cpu%_package-0,14.77394
75,freq_package-0,1516274.875
78,psys-1,36.1928
78,core-0,20.20511
78,package-0,24.7664
78,uncore-0,0.3426
78,package-global,24.7664
78,cpu%_package-global,23.00128
78,cpu%_package-0,23.06852
78,freq_package-0,1809782.875
81,psys-1,12.72305
81,core-0,3.33459
81,package-0,5.89702
81,uncore-0,0.21183
81,package-global,5.89702
81,cpu%_package-global,6.01852
81,cpu%_package-0,5.93479
81,freq_package-0,919792.5
84,psys-1,8.29044
84,core-0,0.58288
84,package-0,2.61723
84,uncore-0,0.1832
84,package-global,2.61723
84,cpu%_package-global,3.07368
84,cpu%_package-0,3.06838
84,freq_package-0,1099296.625
87,psys-1,8.16569
87,core-0,0.5617
87,package-0,2.59727
87,uncore-0,0.18011
87,package-global,2.59727
87,cpu%_package-global,3.22987
87,cpu%_package-0,3.18746
87,freq_package-0,861270.0
90,psys-1,17.40682
90,core-0,6.74757
90,package-0,9.42641
90,uncore-0,0.21513
90,package-global,9.42641
90,cpu%_package-global,9.02603
90,cpu%_package-0,9.03927
90,freq_package-0,2803299.125
93,psys-1,25.1277
93,core-0,11.82261
93,package-0,15.05276
93,uncore-0,0.25238
93,package-global,15.05276
93,cpu%_package-global,14.09452
93,cpu%_package-0,13.92312
93,freq_package-0,1238380.0
96,psys-1,27.74255
96,core-0,14.67373
96,package-0,17.62556
96,uncore-0,0.27832
96,package-global,17.62556
96,cpu%_package-global,13.99916
96,cpu%_package-0,14.04013
96,freq_package-0,1686655.625
99,psys-1,24.63344
99,core-0,11.51314
99,package-0,14.63795
99,uncore-0,0.21393
99,package-global,14.63795
99,cpu%_package-global,14.34529
99,cpu%_package-0,14.31421
99,freq_package-0,2014206.25
102,psys-1,29.68327
102,core-0,17.16726
102,package-0,19.70957
102,uncore-0,0.24932
102,package-global,19.70957
102,cpu%_package-global,13.83201
102,cpu%_package-0,13.86074
102,freq_package-0,3249332.875
105,psys-1,23.31007
105,core-0,10.14982
105,package-0,13.4469
105,uncore-0,0.19637
105,package-global,13.4469
105,cpu%_package-global,14.02848
105,cpu%_package-0,13.9741
105,freq_package-0,2181438.0
108,psys-1,28.56492
108,core-0,16.01403
108,package-0,18.62861
108,uncore-0,0.22897
108,package-global,18.62861
108,cpu%_package-global,13.98747
108,cpu%_package-0,13.94419
108,freq_package-0,1685685.375
111,psys-1,29.52017
111,core-0,16.88722
111,package-0,19.3602
111,uncore-0,0.20446
111,package-global,19.3602
111,cpu%_package-global,14.02923
111,cpu%_package-0,13.97666
111,freq_package-0,1700772.375
114,psys-1,25.01311
114,core-0,11.7877
114,package-0,14.90003
114,uncore-0,0.19962
114,package-global,14.90003
114,cpu%_package-global,13.94472
114,cpu%_package-0,13.92216
114,freq_package-0,1311272.875
117,psys-1,26.24584
117,core-0,13.49682
117,package-0,16.35542
117,uncore-0,0.19522
117,package-global,16.35542
117,cpu%_package-global,13.86097
117,cpu%_package-0,13.71203
117,freq_package-0,2315310.625
120,psys-1,29.44606
120,core-0,16.82224
120,package-0,19.27608
120,uncore-0,0.19551
120,package-global,19.27608
120,cpu%_package-global,13.72959
120,cpu%_package-0,13.74481
120,freq_package-0,3182021.0
123,psys-1,29.42605
123,core-0,16.67612
123,package-0,19.23161
