timestamp,domain,measure
3,psys-1,8.05661
3,core-0,0.69691
3,package-0,2.19053
3,uncore-0,0.01752
3,package-global,2.19053
3,cpu%_package-global,1.51899
3,cpu%_package-0,1.55262
3,freq_package-0,543819.25
6,psys-1,13.97845
6,core-0,5.78521
6,package-0,7.33388
6,uncore-0,0.02248
6,package-global,7.33388
6,cpu%_package-global,5.067
6,cpu%_package-0,5.17032
6,freq_package-0,1794986.875
9,psys-1,30.37247
9,core-0,16.88031
9,package-0,18.93669
9,uncore-0,0.01916
9,package-global,18.93669
9,cpu%_package-global,12.72955
9,cpu%_package-0,12.75
9,freq_package-0,937500.0
12,psys-1,32.99632
12,core-0,18.50644
12,package-0,21.08273
12,uncore-0,0.08703
12,package-global,21.08273
12,cpu%_package-global,16.21053
12,cpu%_package-0,16.06999
12,freq_package-0,3262098.75
15,psys-1,40.88778
15,core-0,23.35716
15,package-0,27.71551
15,uncore-0,0.26099
15,package-global,27.71551
15,cpu%_package-global,24.35678
15,cpu%_package-0,24.37044
15,freq_package-0,3029484.875
18,psys-1,41.38916
18,core-0,23.78646
18,package-0,28.1447
18,uncore-0,0.27584
18,package-global,28.1447
18,cpu%_package-global,24.46627
18,cpu%_package-0,24.72498
18,freq_package-0,3299013.75
21,psys-1,41.43819
21,core-0,23.92858
21,package-0,28.39184
21,uncore-0,0.27213
21,package-global,28.39184
21,cpu%_package-global,24.19424
21,cpu%_package-0,24.31527
21,freq_package-0,3423935.875
24,psys-1,40.93532
24,core-0,24.8332
24,package-0,29.28503
24,uncore-0,0.26678
24,package-global,29.28503
24,cpu%_package-global,24.27226
24,cpu%_package-0,24.43171
24,freq_package-0,3788501.0
27,psys-1,20.10903
27,core-0,9.55921
27,package-0,12.71421
27,uncore-0,0.08979
27,package-global,12.71421
27,cpu%_package-global,10.71879
27,cpu%_package-0,10.70944
27,freq_package-0,703651.125
30,psys-1,5.43203
30,core-0,0.29716
30,package-0,1.5936
30,uncore-0,0.03821
30,package-global,1.5936
30,cpu%_package-global,1.29274
30,cpu%_package-0,1.29292
30,freq_package-0,478422.75
33,psys-1,4.42035
33,core-0,0.20258
33,package-0,1.27548
33,uncore-0,0.02703
33,package-global,1.27548
33,cpu%_package-global,0.79299
33,cpu%_package-0,0.82828
33,freq_package-0,400000.0
36,psys-1,5.77873
36,core-0,0.27719
36,package-0,1.5894
36,uncore-0,0.0367
36,package-global,1.5894
36,cpu%_package-global,1.08923
36,cpu%_package-0,1.08894
36,freq_package-0,612652.75
39,psys-1,4.44163
39,core-0,0.21124
39,package-0,1.18555
39,uncore-0,0.02886
39,package-global,1.18555
39,cpu%_package-global,0.87793
39,cpu%_package-0,0.91835
39,freq_package-0,549469.875
42,psys-1,5.63523
42,core-0,0.26914
42,package-0,1.55683
42,uncore-0,0.01971
42,package-global,1.55683
42,cpu%_package-global,0.7107
42,cpu%_package-0,0.66876
42,freq_package-0,606004.25
45,psys-1,5.50423
45,core-0,0.20683
45,package-0,1.45049
45,uncore-0,0.02857
45,package-global,1.45049
45,cpu%_package-global,0.96033
45,cpu%_package-0,0.96044
45,freq_package-0,556615.375
48,psys-1,18.27704
48,core-0,8.5667
48,package-0,10.85384
48,uncore-0,0.08187
48,package-global,10.85384
48,cpu%_package-global,9.46921
48,cpu%_package-0,9.43921
48,freq_package-0,3506181.375
51,psys-1,20.62691
51,core-0,10.35344
51,package-0,12.72963
51,uncore-0,0.09394
51,package-global,12.72963
51,cpu%_package-global,11.50927
51,cpu%_package-0,11.57319
51,freq_package-0,485058.875
54,psys-1,6.47233
54,core-0,0.40826
54,package-0,1.74263
54,uncore-0,0.02134
54,package-global,1.74263
54,cpu%_package-global,1.30416
54,cpu%_package-0,1.30821
54,freq_package-0,494520.875
